Title,Document Name,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice Period To Terminate Renewal,Governing Law,Most Favored Nation,Competitive Restriction Exception,Non-Compete,Exclusivity,No-Solicit Of Customers,No-Solicit Of Employees,Non-Disparagement,Termination For Convenience,"Right of First Refusal, Offer or Negotiation (ROFR/ROFO/ROFN)",Change Of Control,Anti-Assignment,Revenue/Profit Sharing,Price Restrictions,Minimum Commitment,Volume Restriction,Ip Ownership Assignment,Joint Ip Ownership,License Grant,Non-Transferable License,Affiliate License-Licensor,Affiliate License-Licensee,Unlimited/All-You-Can-Eat-License,Irrevocable Or Perpetual License,Source Code Escrow,Post-Termination Services,Audit Rights,Uncapped Liability,Cap On Liability,Liquidated Damages,Warranty Duration,Insurance,Covenant Not To Sue,Third Party Beneficiary
"ASHWORTHINC_01_29_1999-EX-10.D-PROMOTION_AGREEMENT_AND_NANTZ_COMMUNICATIONS,_INC.",PROMOTION AGREEMENT,"ASHWORTH, INC. (""Company, ""Ashworth""); JAMES W. NANTZ III (""Nantz""); NANTZ COMMUNICATIONS, INC. (""Nantz Communications"")",6/1/98,6/1/98,5/31/01,,,California,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller_Agreement,Reseller Agreement,"695014 B.C. Ltd. dba Galaxy Telecom (""Galaxy""); Galaxy Telnet SRL (""Telnet"")",4/1/06,4/1/06,6/1/06,successive 1 year,60 days,"British Columbia, Canada",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING_AGREEMENT,OUTSOURCING AGREEMENT,"Twin Cities Power Holdings, LLC (""Company""); Redwater LLC (""Contractor"")",[]/[]/2012,[]/[]/2012,perpetual,,,Minnesota,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes
ATENTOSA_07_06_2020-EX-99.1-JOINT_FILING_AGREEMENT,JOINT FILING AGREEMENT,"HPS INVESTMENT PARTNERS, LCC; HPS MEZZANINE PARTNERS II, LLC; HPS MEZZANINE PARTNERS II OFFSHORE GP, L.P.; MEZZANINE PARTNERS - OFFSHORE INVESTMENT MASTER FUND II, L.P.; MEZZANINE PARTNERS II OFFSHORE LUX S.?? R.L; MEZZANINE PARTNERS II OFFSHORE LUX S.?? R.L II; HPS MEZZANINE PARTNERS II GP, L.P.; MEZZANINE PARTNERS II, L.P.; MEZZANINE PARTNERS II ONSHORE LUX S.?? R.L; MEZZANINE PARTNERS II ONSHORE LUX S.?? R.L II",20/6/07,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY_AGREEMENT_,_2009",AGENCY AGREEMENT,"Athens Bancshares Corporation (the ""Company""); Athens Federal Community Bank (the ""Bank""); Keefe, bruyette & Woods, Inc. (the ""Agent"")",[]/[]/2009,,,,,New York,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION_SERVICE_AGREEMENT,TRANSPORTATION SERVICE AGREEMENT,"Arkansas Western Pipeline Company (""Transporter""); Associated Natural Gas Company (""Shipper"")",5/20/92,,,successive 1 month,60 days; 180 days,Arkansas,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING_AGREEMENT,SERVICING AGREEMENT,"Nationwide Fund Management LLC (""Nationwide""); American United Life Insurance Company and OneAmerica Securities, Inc. (collectively referred to as ""Servicing Agent"", ""you"", or ""your"")",[]/[]/20[],[]/[]/20[],,,,Delaware,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC_ALLIANCE_AGREEMENT,STRATEGIC ALLIANCE AGREEMENT,"AURA SYSTEMS INC. (""Aura""); ZANOTTI EAST INC. (""Zanotti"") (collectively the ???Parties???)",3/18/10,3/18/10,3/18/15,successive 5 years,90 days,California,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply_Agreement,ODM SUPPLY AGREEMENT,"ORGANIC PREPARATIONS INC. (""the Manufacturer""); AGAPE ATP INTERNATIONAL HOLDING LIMITED (""the Customer"")",1/15/18,1/15/18,1/15/28,successive 10 years,6 months,England,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development_Agreement,"LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT","Xencor, Inc. (""Xencor""); Aimmune Therapeutics, Inc. (""Aimmune"")(""Party"" and collectively as the ""Parties"")",20/4/02,20/4/02,perpetual,Perpetual,,California,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content_License_Agreement,JOINT CONTENT LICENSE AGREEMENT,"WPT Enterprises, Inc. (???WPT???); ZYNGA INC. (???Zynga US???); ZYNGA GAME IRELAND LIMITED (""Zynga Ireland"", and together with Zynga US and their respective Affiliates, ???Zynga???)",18/1/02,18/1/02,21/1/02,2 years,,California,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship_Agreement,EVENT SPONSORSHIP AGREEMENT,"Newegg Inc. (""Newegg""); Allied Esports International, Inc. (""Allied"")(""Parties"" and each as a ""Party"")",19/1/02,19/1/02,1/31/24,,,California,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
"Antares_Pharma,_Inc._-_Manufacturing_Agreement",Manufacturing Agreement,"Antares Pharma, Inc. (""Antares""); AMAG Pharmaceuticals, Inc. (""AMAG""); individually as ""Party"" and collectively as the ""Parties""",3/20/18,3/20/18,Perpetual,,,New York,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No
Apollo_Endosurgery_-_Manufacturing_and_Supply_Agreement,Manufacturing and Supply Agreement,"Apollo Endosurgery (""APOLLO""); Establishment Labs, S.A (""ESTABLISHMENT""); Apollo and Establishment shall hereinafter be individually referred to as a ""Party"" and collectively as the ""Parties""",14/5/12,14/5/12,19/5/12,successive 1 year,1 year,Texas,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship_Agreement,JACKSONVILLE JAGUARS SPONSORSHIP AGREEMENT,"Jacksonville Jaguars, LLC (""Club""); The ARC Group, Inc. (""Sponser"")",11/27/17,18/1/04,2/28/23,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development_Agreement,BLOCKCHAIN ADMINISTRATION AND DEVELOPMENT AGREEMENT,"ARCA U.S. TREASURY FUND (""Fund""); ARCA CAPITAL MANAGEMENT, LLC (""Blockchain Administrator"")",[]/[]/2020,[]/[]/2020,[]/[]/2022,successive 1 year,,New York,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark_License_Agreement,FORM OF TRADEMARK LICENSE AGREEMENT,"ARCONIC INC. (""Licensee""); ARCONIC ROLLED PRODUCTS CORP. (""Licensor"")",[]/[]/2020,[]/[]/2020,,,,Delaware,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual_Property_Agreement,INTELLECTUAL PROPERTY AGREEMENT,"Armstrong Flooring, Inc. (""Seller""); AFI Licensing LLC, (""Licensing"" and together with Seller, ""Arizona""); AHF Holding, Inc. (formerly known as Tarzan HoldCo, Inc.)(""Buyer""); Armstrong Hardwood Flooring Company (""Company""and together with Buyer the ""Buyer Entities"")(each of Arizona and the Buyer Entities, a ""Party"" and collectively, the ""Parties"")",12/31/18,12/31/18,Perpetual,,,Delaware,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No
"Array_BioPharma_Inc._-_LICENSE,_DEVELOPMENT_AND_COMMERCIALIZATION_AGREEMENT","LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT","Array BioPharma Inc., (""Array""); Ono Pharmaceutical Co., Ltd. (""Ono""); (individually ""Party"", collectively ""Parties"")",5/31/17,5/31/17,,,,New York,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License_Agreement,SPONSORED RESEARCH AND LICENSE AGREEMENT,"Artara Therapeutics, Inc. (""ArTara"",""ArTara, Inc.""); The University of Iowa (""University"")",11/28/18,11/28/18,,,,Iowa,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance_Agreement,Network Build and Maintenance Agreement ,"Commnet Wireless, LLC (""Vendor""); AT&T Mobility LLC (""AT&T"") (""Party"" or in the plural as the ""Parties."")",7/31/19,7/31/19,,,,New York,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding_Agreement__Marketing_Agreement__Investment_Distribution_Agreement,"CO-BRANDING, MARKETING AND DISTRIBUTION AGREEMENT","Amazon.com Commerce Services, Inc. (""ACSI""); Audible Inc. (""Company"")(""Parties"" and individually as a ""Party"")",1/30/00,1/30/00,1/30/03,,,Washington,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance_Agreement1,GLOBAL MAINTENANCE AGREEMENT (,"AZUL LINHAS A??REAS BRASILEIRAS S/A (""Company"", ""AZUL""); AVIONS DE TRANSPORT REGIONAL, G.I.E. (???Repairer???, ???ATR???); AZUL LINHAS A??REAS BRASILEIRAS and AVIONS DE TRANSPORT REGIONAL, G.I.E. (individually referred to as the ???Party??? or collectively as the ???Parties???)",15/9/03,,,,,New York,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance_Agreement2,Amendment n?¡ã 01   to the Global Maintenance Agreement ref. DS/C-3957/14 Issue 7,"AZUL LINHAS A??REAS BRASILEIRAS S/A (""Company"", ""AZUL""); AVIONS DE TRANSPORT REGIONAL, G.I.E. (???Repairer???, ???ATR???); AZUL LINHAS A??REAS BRASILEIRAS and AVIONS DE TRANSPORT REGIONAL, G.I.E. (individually referred to as the ???Party??? or collectively as the ???Parties???)",16/6/01,16/6/01,,,,New York,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL_PROPERTY_AGREEMENT_between_THE_BABCOCK___WILCOX_COMPANY_and_BABCOCK___WILCOX_ENTERPRISES,_INC.",INTELLECTUAL PROPERTY AGREEMENT,"The Babcock and Wilcox Company (""RemainCo""); Babcock and Wilcox Enterprises, Inc. (""SpinCo""); individually as a ???Party,??? and collectively as the ???Parties???",6/26/15,6/25/15,,,,Delaware,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No
BANGIINC_05_25_2005-EX-10-Premium_Managed_Hosting_Agreement,Premium Managed Hosting Agreement,AstroNutrition.com; deep systems,5/1/03,5/1/03,2/28/06,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY_AGREEMENT,AGENCY AGREEMENT,"El Banco Financial Corporation (the ""Company""); sales agent (the ""Agent"" or ""you"")",[]/[]/2006,[]/[]/2006,,,,Georgia,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply_Agreement",Supply Agreement,"Miltenyi Biotec GmbH (""Miltenyi""); Bellicum Phamaceuticals, Inc. (""Bellicum""); Miltenyi and Bellicum (individually as a ???Party??? and collectively as the ???Parties???)",3/27/19,3/27/19,3/27/29,successive 5 years,,New York,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER_SUPPLY_AGREEMENT",MASTER SUPPLY AGREEMENT,"Premier Nutrition Company, LLC, (""Buyer"" or ""PNC""); Fonterra (USA) Inc., (""Supplier"" or ""Fonterra""); (each ""Party"", collectively ""Parties"")",10/31/19,10/31/19,10/31/24,5 years,12 months,Delaware,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No
