Title,Document Name,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice to Terminate Renewal,Governing Law,Most Favored Nation,Non-Compete,Exclusivity,No-Solicit of Customers,Competitive Restriction Exception,No-Solicit of Employees,Non-Disparagement,Termination for Convenience,"Right of First Refusal, Offer or Negotiation (ROFR/ROFO/ROFN)",Change of Control,Anti-Assignment,Revenue/Profit Sharing,Price Restriction,Minimum Commitment,Volume Restriction,IP Ownership Assignment,Joint IP Ownership,License Grant,Non-Transferable License,Affiliate IP License-Licensor,Affiliate IP License-Licensee,Unlimited/All-You-Can-Eat License,Irrevocable or Perpetual License,Source Code Escrow,Post-Termination Services,Audit Rights,Uncapped Liability,Cap on Liability,Liquidated Damages,Warranty Duration,Insurance,Covenant Not to Sue,Third Party Beneficiary
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC_ALLIANCE_AGREEMENT",STRATEGIC ALLIANCE AGREEMENT,16,16,16,16,16,"STRATEGIC ALLIANCE AGREEMENT "" EDGE - FTE "" THIS STRATEGIC ALLIANCE AGREEMENT ( the "" Agreement "" ) , made effective this 17t h day of 2016 02 01 , through 2019 02 16",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMINIADVISORTRUST_02_18_2005-EX-99.H2-SPONSORSHIP_AGREEMENT,SPONSORSHIP AGREEMENT,"2 ) SPONSORSHIP AGREEMENT SPONSORSHIP AGREEMENT , dated as of 2005 02 04 , by and between Domini Advisor Trust , a Massachusetts business trust ( the "" Trust "" ) , and Domini Social Investments LLC , a Massachusetts limited liability company ( "" Domini "" or the "" Sponsor "" ) . W I T N E S S E T H : WHEREAS , the Trust is engaged in business as an open - end investment company registered under the Investment Company Act of 1940 , as amended , and consists of one or more series ; and WHEREAS , the Trust desires to enter into this Agreement with respect to its current and future series ; and WHEREAS , the Trust wishes to engage Domini to provide certain oversight , administrative and management services , and Domini is willing to provide such oversight , administrative and management services to the Trust on the terms and conditions hereinafter set forth ; NOW , THEREFORE , in consideration of the mutual covenants and agreements of the parties hereto as herein set forth , the parties covenant and agree as follows : 1",2,2,2,SPONSORSHIP AGREEMENT,"SPONSORSHIP AGREEMENT SPONSORSHIP AGREEMENT , dated as of 2005 02 04 , by and between Domini Advisor Trust , a Massachusetts business trust ( the "" Trust "" ) , and Domini Social Investments LLC , a Massachusetts limited liability company ( "" Domini "" or the "" Sponsor "" ) . W I T N E S S E T H : WHEREAS , the Trust is engaged in business as an open - end investment company registered under the Investment Company Act of 1940 , as amended , and consists of one or more series ; and WHEREAS , the Trust desires to enter into this Agreement with respect to its current and future series ; and WHEREAS , the Trust wishes to engage Domini to provide certain oversight , administrative and management services , and Domini is willing to provide such oversight , administrative and management services to the Trust on the terms and conditions hereinafter set forth ; NOW , THEREFORE , in consideration of the mutual covenants and agreements of the parties hereto as herein set forth , the parties covenant and agree as follows : 1",2 ) SPONSORSHIP AGREEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise_Agreement3,SAMPLE OF NON-DISCLOSURE AND NON-COMPETITION AGREEMENT,20,20,20,20,20,"SAMPLE OF NON-DISCLOSURE AND NON-COMPETITION AGREEMENT ( BETWEEN FRANCHISEE AND ITS PERSONNEL ) THIS SAMPLE OF NON-DISCLOSURE AND NON-COMPETITION AGREEMENT ( "" Agreement "" ) is made this _ _ _ _ _ _ _ _ _ _ day of _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ , 20",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual_Property_Agreement,INTELLECTUAL PROPERTY AGREEMENT,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.DIV_11720968_EX-99.DIV_Endorsement_Agreement,ENDORSEMENT,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply_Agreement,MASTER SUPPLY AGREEMENT,1,1,1,1,1,"MASTER SUPPLY AGREEMENT MASTER SUPPLY AGREEMENT ( the "" Agreement "" ) dated November 1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntegrityFunds_20200121_485BPOS_EX-99.E_UNDR_CONTR_11948727_EX-99.E_UNDR_CONTR_Service_Agreement,DISTRIBUTION AND SERVICES AGREEMENT,18,18,18,18,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL_PROPERTY_AGREEMENT,INTELLECTUAL PROPERTY AGREEMENT,12,12,12,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic_Alliance_Agreement",Strategic Alliance Agreement,30th,30th,30th,30th,Strategic Alliance Agreement This agreement is made and entered into this 30th,Strategic Alliance Agreement This agreement is made and entered into this 30th,30th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTRICONCORP_03_10_2009-EX-10.22-Strategic_Alliance_Agreement,Strategic Alliance Agreement,1st,1st,1st,1st,"Strategic Alliance Agreement Intricon Corporation 1260 Red Fox Road Arden Hills , Minnesota 55112 United States and Dynamic Hearing Pty Ltd 2 Chapel Street , Richmond , VIC 3121 AUSTRALIA AGREEMENT This Agreement is entered into and is effective as of the 1st","Strategic Alliance Agreement Intricon Corporation 1260 Red Fox Road Arden Hills , Minnesota 55112 United States and Dynamic Hearing Pty Ltd 2 Chapel Street , Richmond , VIC 3121 AUSTRALIA AGREEMENT This Agreement is entered into and is effective as of the 1st",1st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY_AGREEMENT,AGENCY AGREEMENT,18,18,18,18,"AGENCY AGREEMENT This Agency Agreement ( "" Agreement "" ) is made as of 2018 04 18","AGENCY AGREEMENT This Agency Agreement ( "" Agreement "" ) is made as of 2018 04 18",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT_AND_MAINTENANCE_AGREEMENT",SUPPORT AND MAINTENANCE AGREEMENT,2005,2005,2005,2005,2005,"2005 ( the "" Effective Date "" ) , between On2 Technologies , Inc. , a Delaware corporation ( "" On2 "" ) , and Wildform , Inc. , a California corporation ( "" Wildform "" ) . Capitalized terms used herein and not defined herein shall have the meanings given to them in Asset Purchase Agreement ( as defined below ) . WITNESSETH : WHEREAS , On2 and Wildform have entered into an Asset Purchase And Software License Agreement dated as of 2005 04 04 ( the "" Asset Purchase Agreement "" ) pursuant to which , among other matters , Wildform has agreed to sell and license certain assets to On2 ; and WHEREAS , in connection with the Asset Purchase Agreement , On2 desires for Wildform to provide certain services to On2 , and Wildform wishes to perform such services in accordance herewith . NOW , THEREFORE , subject to the terms , conditions , covenants and provisions of this Agreement , each of On2 and Wildform mutually covenant and agree as follows : ARTICLE I DEFINITIONS For purposes hereof , each of the following terms shall have the respective meaning set forth below , whether employed in the singular or plural , unless the particular context in which a term is used clearly indicates otherwise : 1.1",2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting_Agreement,"Website Design , Development and Hosting Agreement",11,11,11,11,"Website Design , Development and Hosting Agreement This Website Design , Development and Hosting Agreement the ( "" Agreement "" ) is entered into on 2018 01 11","Website Design , Development and Hosting Agreement This Website Design , Development and Hosting Agreement the ( "" Agreement "" ) is entered into on 2018 01 11",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERALTD_04_30_2020-EX-4.14-SERVICE_AGREEMENT,SERVICE AGREEMENT This Service Agreement,1st,1st,1st,1st,"Service Agreement ( "" Agreement "" ) is entered into on 2019 04 01 . 1st","Service Agreement ( "" Agreement "" ) is entered into on 2019 04 01 . 1st",1st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT_VENTURE_AGREEMENT",JOINT VENTURE AGREEMENT,20th,20th,20th,20th,"JOINT VENTURE AGREEMENT THIS JOINT VENTURE AGREEMENT ( the "" Agreement "" ) made and entered into this 20th day of Friday , 2020 03 01 ( the "" Execution Date "" ) , BETWEEN : BorrowMoney.com , inc of 512 Bayshore DR , suite 201 Fort Lauderdale FL 33304 , and JVLS , LLC dba Vaccines 2Go of 4060 Johns Creek Parkway Suite H Suwanee , GA 30024 ( individually the "" Member "" and collectively the "" Members "" ) . BACKGROUND : A . The Members wish to enter into an association of mutual benefit and agree to jointly invest and set up a joint venture enterprise . B . This Agreement sets out the terms and conditions governing this association . IN CONSIDERATION OF and as a condition of the Members entering into this Agreement and other valuable consideration , the receipt and sufficiency of which consideration is acknowledged , the Members agree as follows : Formation 1","JOINT VENTURE AGREEMENT THIS JOINT VENTURE AGREEMENT ( the "" Agreement "" ) made and entered into this 20th day of Friday , 2020 03 01 ( the "" Execution Date "" ) , BETWEEN : BorrowMoney.com , inc of 512 Bayshore DR , suite 201 Fort Lauderdale FL 33304 , and JVLS , LLC dba Vaccines 2Go of 4060 Johns Creek Parkway Suite H Suwanee , GA 30024 ( individually the "" Member "" and collectively the "" Members "" ) . BACKGROUND : A . The Members wish to enter into an association of mutual benefit and agree to jointly invest and set up a joint venture enterprise . B . This Agreement sets out the terms and conditions governing this association . IN CONSIDERATION OF and as a condition of the Members entering into this Agreement and other valuable consideration , the receipt and sufficiency of which consideration is acknowledged , the Members agree as follows : Formation 1 . By this Agreement the Members enter into a joint venture ( the "" Venture "" ) in accordance with the laws of the State of Florida . The rights and obligations of the Members will be as stated in the applicable legislation of the State of Florida ( the "" Act "" ) except as otherwise provided here . Name 2 . The business name of the Venture will be BM&V 2GO . Page 1 of 13 Purpose 3 . The exclusive purpose of the Venture ( the "" Purpose "" ) will be IT Development . internet Back office Maintenance And Deployment of medical Service . Term 4 . The duration of this Venture ( the "" Term "" ) will begin on 2020 03 01 and continue in full force and effect until 2020 02 28","JOINT VENTURE AGREEMENT THIS JOINT VENTURE AGREEMENT ( the "" Agreement "" ) made and entered into this 20th",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL_PROPERTY_AGREEMENT,INTELLECTUAL PROPERTY AGREEMENT,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content_License_Agreement,DOMAIN NAME AND CONTENT LICENSE AGREEMENT,23,23,23,23,DOMAIN NAME AND CONTENT LICENSE AGREEMENT,"DOMAIN NAME AND CONTENT LICENSE AGREEMENT This Domain Name and Content License Agreement ( the "" Agreement "" ) is made and entered into , by and between Beijing SINA Internet Information Service Co. , Ltd. ( ) , a limited liability company organized under the laws of the People 's Republic of China ( hereinafter "" Licensor "" ) and Beijing Yisheng Leju Information Services Co. , Ltd. , a limited liability company organized under the laws of the People 's Republic of China ( "" Licensee "" and together with Licensor , the "" Parties "" and each a "" Party "" ) and is made effective as of the Effective Date ( defined below ) . RECITALS WHEREAS , SINA Corporation , a company organized under the laws of the Cayman Islands ( "" SINA "" ) , and CRIC Holdings Limited , a company organized under the laws of the Cayman Islands ( "" CRIC "" ) , entered into that certain Share Purchase Agreement dated 2009 07 23","Domain Name and Content License Agreement ( the "" Agreement "" ) is made and entered into , by and between Beijing SINA Internet Information Service Co. , Ltd. ( ) , a limited liability company organized under the laws of the People 's Republic of China ( hereinafter "" Licensor "" ) and Beijing Yisheng Leju Information Services Co. , Ltd. , a limited liability company organized under the laws of the People 's Republic of China ( "" Licensee "" and together with Licensor , the "" Parties "" and each a "" Party "" ) and is made effective as of the Effective Date ( defined below ) . RECITALS WHEREAS , SINA Corporation , a company organized under the laws of the Cayman Islands ( "" SINA "" ) , and CRIC Holdings Limited , a company organized under the laws of the Cayman Islands ( "" CRIC "" ) , entered into that certain Share Purchase Agreement dated 2009 07 23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL_PROPERTY_AGREEMENT",INTELLECTUAL PROPERTY AGREEMENT,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING_AGREEMENT,CONSULTING AGREEMENT,2nd,2nd,2nd,2nd,"CONSULTING AGREEMENT This Consulting Agreement ( the "" Agreement "" ) is made and entered into as of this 2nd","CONSULTING AGREEMENT This Consulting Agreement ( the "" Agreement "" ) is made and entered into as of this 2nd",2nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise_Agreement1,FORM OF FRANCHISE AGREEMENT,"12G , 9/23/2015 TABLE OF CONTENTS SECTION PAGE 1 . RIGHTS GRANTED 2 2 . TERM ; SUCCESSOR FRANCHISE AGREEMENTS 4 3",12G,12G,12G,"FORM OF FRANCHISE AGREEMENT Location of the Premises : Agreement Date Franchisee Business Address Type of Legal Entity ( if applicable ) State in which entity organized ( if applicable ) Shareholder / Partner / Member Name Ownership Percentage ( the "" Operating Principal "" ) Source : PF HOSPITALITY GROUP INC. , 10 - 12G , 9/23/2015 TABLE OF CONTENTS SECTION PAGE 1 . RIGHTS GRANTED 2 2","FORM OF FRANCHISE AGREEMENT Location of the Premises : Agreement Date Franchisee Business Address Type of Legal Entity ( if applicable ) State in which entity organized ( if applicable ) Shareholder / Partner / Member Name Ownership Percentage ( the "" Operating Principal "" ) Source : PF HOSPITALITY GROUP INC. , 10 - 12G , 9/23/2015 TABLE OF CONTENTS SECTION PAGE 1 . RIGHTS GRANTED 2 2 . TERM ; SUCCESSOR FRANCHISE AGREEMENTS 4 3","12G , 9/23/2015 TABLE OF CONTENTS SECTION PAGE 1 . RIGHTS GRANTED 2 2 . TERM ; SUCCESSOR FRANCHISE AGREEMENTS 4 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORIOINC_07_20_2000-EX-10.5-LICENSE_AND_HOSTING_AGREEMENT,LICENSE AND HOSTING AGREEMENT,29,29,29,29,"LICENSE AND HOSTING AGREEMENT This License and Hosting Agreement ( the "" AGREEMENT "" ) is made and entered into as of 1999 10 29","LICENSE AND HOSTING AGREEMENT This License and Hosting Agreement ( the "" AGREEMENT "" ) is made and entered into as of 1999 10 29",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUNIUCORP_03_06_2014-EX-10-COOPERATION_AGREEMENT,COOPERATION AGREEMENT,24,24,24,24,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION_AGREEMENT,Promotion Agreement,"26 between CNET , Inc . ( "" CNET "" ) and Cyberian Outpost , Inc. ( the "" Company "" ) . Pursuant to this Agreement , CNET will provide various links and other online and television promotions ( collectively , the "" Promotions "" ) to the Company to assist the Company in promoting its products and services and facilitating the sale of products to potential buyers through its Internet site . CNET will be compensated by the Company for providing the Promotions . Accordingly , the parties hereby agree as follows : 1",26,26,26,"Promotion Agreement ( the "" Agreement "" ) is dated as of 1998 01 26 between CNET , Inc . ( "" CNET "" ) and Cyberian Outpost , Inc. ( the "" Company "" ) . Pursuant to this Agreement , CNET will provide various links and other online and television promotions ( collectively , the "" Promotions "" ) to the Company to assist the Company in promoting its products and services and facilitating the sale of products to potential buyers through its Internet site . CNET will be compensated by the Company for providing the Promotions . Accordingly , the parties hereby agree as follows : 1","Promotion Agreement ( the "" Agreement "" ) is dated as of 1998 01 26 between CNET , Inc . ( "" CNET "" ) and Cyberian Outpost , Inc. ( the "" Company "" ) . Pursuant to this Agreement , CNET will provide various links and other online and television promotions ( collectively , the "" Promotions "" ) to the Company to assist the Company in promoting its products and services and facilitating the sale of products to potential buyers through its Internet site . CNET will be compensated by the Company for providing the Promotions . Accordingly , the parties hereby agree as follows : 1","Promotion Agreement ( the "" Agreement "" ) is dated as of 1998 01 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration_Agreement,Collaboration Agreement,2.02E+11,2.02E+11,2.02E+11,2.02E+11,Collaboration Agreement,"Collaboration Agreement This Collaboration Agreement ( hereinafter referred to as this "" Agreement "" ) is made and entered into by and between the following parties in Haidian District , Beijing . This Agreement may be executed in paper form offline or in electronic form through the Didi Chuxing Online Contracting Platform ( website : https://Agreement.didichuxing.com/ , hereinafter referred to as the "" Contracting Platform "" ) .",Collaboration Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller_Agreement,WALABOT - HOME RESELLER AGREEMENT,31,31,31,31,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER_AGREEMENT,Distribution Agreement,31,31,31,31,"Distribution Agreement ( the "" Agreement "" ) is entered into by and between American Express Incentive Services , L.L.C. , a Missouri limited liability company ( "" AEIS "" ) , and its Reseller , Schoolpop , Inc. , a Delaware corporation ( "" Schoolpop "" ) . This Agreement is effective as of 2004 08 01 , ( the "" Effective Date "" ) and shall terminate on 2009 07 31","Distribution Agreement ( the "" Agreement "" ) is entered into by and between American Express Incentive Services , L.L.C. , a Missouri limited liability company ( "" AEIS "" ) , and its Reseller , Schoolpop , Inc. , a Delaware corporation ( "" Schoolpop "" ) . This Agreement is effective as of 2004 08 01 , ( the "" Effective Date "" ) and shall terminate on 2009 07 31",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING_AND_WEB_SITE_HOSTING_AGREEMENT,LICENSING AND WEB SITE HOSTING AGREEMENT,26,26,26,26,LICENSING AND WEB SITE HOSTING AGREEMENT This Agreement is entered into on 1999 02 26,LICENSING AND WEB SITE HOSTING AGREEMENT This Agreement is entered into on 1999 02 26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC_ALLIANCE_AGREEMENT,STRATEGIC ALLIANCE AGREEMENT,11,11,11,11,"STRATEGIC ALLIANCE AGREEMENT THIS STRATEGIC ALLIANCE AGREEMENT ( "" Agreement "" ) is made and entered into as of 2016 11","STRATEGIC ALLIANCE AGREEMENT THIS STRATEGIC ALLIANCE AGREEMENT ( "" Agreement "" ) is made and entered into as of 2016 11",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License_Agreement,COMMERCIALIZATION AND LICENSE AGREEMENT,12,12,17,12 17,"COMMERCIALIZATION AND LICENSE AGREEMENT This Commercialization and License Agreement ( this "" Agreement "" ) is made effective as of 2019 12","COMMERCIALIZATION AND LICENSE AGREEMENT This Commercialization and License Agreement ( this "" Agreement "" ) is made effective as of 2019 12",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCIINC_02_28_2008-EX-10.10-,Intellectual Property Agreement,20,20,20,20,"Intellectual Property Agreement ( the "" Agreement "" ) , is entered into as of November 20","Intellectual Property Agreement ( the "" Agreement "" ) , is entered into as of November 20",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NICELTD_06_26_2003-EX-4.5-OUTSOURCING_AGREEMENT,MANUFACTURING OUTSOURCING AGREEMENT,21,21,21,21,"Manufacturing Outsourcing Agreement ( The "" AGREEMENT "" ) is entered into on 2002 01 21","Manufacturing Outsourcing Agreement ( The "" AGREEMENT "" ) is entered into on 2002 01 21",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
