Title,Document Name,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice Period To Terminate Renewal,Governing Law,Most Favored Nation,Competitive Restriction Exception,Non-Compete,Exclusivity,No-Solicit Of Customers,No-Solicit Of Employees,Non-Disparagement,Termination For Convenience,Rofr/Rofo/Rofn,Change Of Control,Anti-Assignment,Revenue/Profit Sharing,Price Restrictions,Minimum Commitment,Volume Restriction,Ip Ownership Assignment,Joint Ip Ownership,License Grant,Non-Transferable License,Affiliate License-Licensor,Affiliate License-Licensee,Unlimited/All-You-Can-Eat-License,Irrevocable Or Perpetual License,Source Code Escrow,Post-Termination Services,Audit Rights,Uncapped Liability,Cap On Liability,Liquidated Damages,Warranty Duration,Insurance,Covenant Not To Sue,Third Party Beneficiary
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller_Agreement,Reseller Agreement,"695014 B.C. Ltd. dba Galaxy Telecom (""Galaxy""); Galaxy Telnet SRL (""Telnet"")",4/1/06,4/1/06,6/1/06,successive 1 year,60 days,"British Columbia, Canada",,,,,,,,,,,Neither party may assign this Agreement without the prior written consent of the other.,,,,,,,,,,,"Table 1

  Business Partner Pricing

VoIP Services One-Time Fee Monthly Service Fee

VoIP Connectivity (per port charge)

Includes: Unlimited VoIP calls, VoIP Caller ID, Call waiting, Basic voicemail

$9.95 $5.95

VoIP Connectivity - Commpanion Galaxy Telecom Brand

With i-box subscription

Includes: Unlimited VoIP calls, VoIP Caller ID, Call waiting, Basic voicemail, 3-way Calling, Call forwarding, Do not disturb, Call hold, Auto answer, Call ignore, Call ""go to voicemail"", Redial, Mute

$19.95 $1.95

VoIP Connectivity - i-box Commpanion Galaxy Telecom Brand

Stand alone subscription

Includes: Unlimited VoIP calls, VoIP Caller ID, Call waiting, Basic voicemail, 3-way Calling, Call forwarding, Do not disturb, Call hold, Auto answer, Call ignore, Call ""go to voicemail"", Redial, Mute

$19.95 $5.95

VoIP",,,"Upon termination of this Agreement, Galaxy may, at its sole discretion accept inventory returns of Products.",,,"Galaxy shall have no liability to Telnet, whether in contract, tort (including negligence), strict liability or otherwise, for any special, indirect or consequential damages or for lost profits, in any matter related to this Agreement, including but not limited to any delay or failure by Galaxy to furnish, deliver or provide Products or Services; Galaxy's liability in any matter related to Product shall be limited to the purchase price paid by Telnet for the Product with respect to which such liability relates; Galaxy's liability in any matter related to Services shall be limited to the fee paid by Telnet for the Service with respect to which the liability relates in the month or months in which the event giving rise to the liability occurred.",,,,"Telnet acknowledges Galaxy's exclusive ownership of the Galaxy name and logo as well as certain other trademarks and trade names which Galaxy uses in connection with the Products and Services (the ""Trademarked Material"") and agrees that Telnet will not acquire any interest in any of the Trademarked Material by virtue of this Agreement or anything done pursuant to it;",
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING_AGREEMENT,OUTSOURCING AGREEMENT,"Twin Cities Power Holdings, LLC (""Company""); Redwater LLC (""Contractor"")",[]/[]/2012,[]/[]/2012,perpetual,,,Minnesota,,,,,,,,"The Company or the Contractor may terminate this Agreement at any time in whole or in part as more  specifically provided below, and in such case, the Contractor will be paid fees incurred up to the date of such termination plus its expenses  accrued as of such date within 30 days of such termination.",,,Neither party may assign its rights and obligations under this Agreement without the written consent of  the other party.,,,"In consideration of the agreement of the Contractor to provide its services as set forth in this  Agreement, the Company will pay the Contractor the following amounts:     (i) a monthly service fee of $7.50 per note based on the maximum number of notes outstanding during the  month, subject to a monthly minimum of $2,500;",,"Any and all web pages used by Contractor in connection with the Offering (the ""Web Pages""), and all  associated Proprietary Rights, shall be owned exclusively by the Company.",,"During the term of this Agreement, the Company hereby grants the Contractor a limited license to use the  Company's logo, corporate colors, trademarks, trade names, fonts, and other aspects of corporate identity in  advertisements and marketing materials related to the Notes and on the Contractor's website, subject to the Company's  prior written approval of the specific use of these items in writing in each instance (which shall not be unreasonably  withheld).",,,,,,,"In addition to  delivering such data and monies, the Contractor shall use its best efforts to effect the orderly and efficient transfer of the administration  of the Notes to the Company or other party designated by the Company to assume responsibility for such administration, including,  without limitation, directing Holders to remit all repurchase or other notices to the address designated by the Company.","At any time the Company and its agents and representatives may physically inspect any documents, files or  other records relating to the Renewable Note Program and discuss the same with the Contractor's officers and employees.",,,,,"The Contractor maintains insurance, which is in full force and effect, with insurers of recognized financial responsibility of  the types and in the amounts generally deemed adequate for its business and, to the best of the Contractor's knowledge, in line with  the insurance maintained by similar companies and businesses; and the Contractor has no reason to believe that it will not be able to  renew its existing insurance coverage as and when such coverage expires or obtain similar coverage from similar insurers as may be  necessary to continue its business at a cost that would not materially and adversely affect the financial condition or business  operations of the Contractor.",,"Any  successor of any party or of any such controlling person, or any legal representative of such controlling person, as the case may be, shall be  entitled to the benefit of the respective indemnity and contribution agreements."
ATENTOSA_07_06_2020-EX-99.1-JOINT_FILING_AGREEMENT,JOINT FILING AGREEMENT,"HPS INVESTMENT PARTNERS, LCC; HPS MEZZANINE PARTNERS II, LLC; HPS MEZZANINE PARTNERS II OFFSHORE GP, L.P.; MEZZANINE PARTNERS - OFFSHORE INVESTMENT MASTER FUND II, L.P.; MEZZANINE PARTNERS II OFFSHORE LUX S.?? R.L; MEZZANINE PARTNERS II OFFSHORE LUX S.?? R.L II; HPS MEZZANINE PARTNERS II GP, L.P.; MEZZANINE PARTNERS II, L.P.; MEZZANINE PARTNERS II ONSHORE LUX S.?? R.L; MEZZANINE PARTNERS II ONSHORE LUX S.?? R.L II",20/6/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY_AGREEMENT_,_2009",AGENCY AGREEMENT,"Athens Bancshares Corporation (the ""Company""); Athens Federal Community Bank (the ""Bank""); Keefe, bruyette & Woods, Inc. (the ""Agent"")",[]/[]/2009,,,,,New York,,,,"Subject to the terms and conditions herein set forth, the Company and the Bank hereby appoint  the Agent as their exclusive financial advisor and marketing agent (i) to utilize its best efforts to solicit subscriptions for Common Shares and to  advise and assist the Company and the Bank with respect to the Company's sale of the Shares in the Offering and (ii) to participate in the Offering  in the areas of market making and in syndicate formation (if necessary).",,,,,,,,"The Agent shall receive the following compensation for its services hereunder:<omitted>(b) A success fee upon completion of the Offering of 1.125% of the aggregate purchase price of the Common Shares sold in the Subscription  Offering and Community Offering excluding shares purchased by the Bank's officers, directors, or employees (or members of their immediate  family), any ESOP, tax-qualified or stock-based compensation plans (except IRAs) or similar plan created by the Bank or the Company for some or  all of its directors or employees, or contributed to any charitable foundation established by the Bank in connection with the Conversion.",,"In the event the Company fails to sell the required minimum number of the Shares by the date when such sales must be completed, in  accordance with the provisions of the Plan or as required by the Conversion Regulations, and applicable law, this Agreement shall terminate upon  refund by the Company to each person who has subscribed for or ordered any of the Shares the full amount which it may have received from such  person, together with interest as provided in the Prospectus, and no party to this Agreement shall have any obligation to the other hereunder,  except as set forth in Sections 2(a) and (d), 7, 9 and 10 hereof.",,,,,,,,,,,,,,"It is expressly agreed that the Agent shall not be liable for any loss, liability, claim, damage or expense or be  required to contribute any amount pursuant to Section 9(b) or this Section 10 which in the aggregate exceeds the amount paid (excluding  reimbursable expenses) to the Agent under this Agreement.",,,,,
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION_SERVICE_AGREEMENT,TRANSPORTATION SERVICE AGREEMENT,"Arkansas Western Pipeline Company (""Transporter""); Associated Natural Gas Company (""Shipper"")",5/20/92,,,successive 1 month,60 days; 180 days,Arkansas,,,,,,,,,,,,,,"Quantity of capacity to be released: Max 13,370 Dfli/Day,                                Min 13,370 DthDay.","Quantity of capacity to be released: Max 13,370 Dfli/Day,                                Min 13,370 DthDay.",,,,,,,,,,"Any portions of this Agreement necessary to balance receipts                   and deliveries under this Agreement as required by the FTS/ITS                   Rate Schedule, shall survive the other parts of this Agreement                   until such time as such balancing has been accomplished.",,,,,,,,
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING_AGREEMENT,SERVICING AGREEMENT,"Nationwide Fund Management LLC (""Nationwide""); American United Life Insurance Company and OneAmerica Securities, Inc. (collectively referred to as ""Servicing Agent"", ""you"", or ""your"")",[]/[]/20[],[]/[]/20[],,,,Delaware,,,,,,,,"In addition, either you or Nationwide may terminate this Agreement<omitted>for any reason on at least ninety (90) days written notice to the other party.",,,,,,,,,,,,,,,,,,"You agree, upon the reasonable request of Nationwide, to provide access during normal business hours to your facilities and records related to the services provided and the compensation payable hereunder, and to permit Nationwide to review the quality of such services provided and to respond to requests of the Trust's Board of Trustees.",,In the event of any error or delay with respect to both the Fund/SERV Processing Procedures and the Manual Processing Procedures outlined in Exhibit B herein:<omitted>but specifically excluding any and all consequential punitive or other indirect damages.,,,,,
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC_ALLIANCE_AGREEMENT,STRATEGIC ALLIANCE AGREEMENT,"AURA SYSTEMS INC. (""Aura""); ZANOTTI EAST INC. (""Zanotti"") (collectively the ???Parties???)",3/18/10,3/18/10,3/18/15,successive 5 years,90 days,California,"In accordance with Section 3.6 below,  at no time shall any Product price exceed the lowest price for which Zanotti sells such Product (or substantial equivalent thereof) in similar  quantities to any third party.","In order to maintain the exclusivity granted hereunder, Zanotti  shall provide Aura with orders for a minimum of (i) one thousand (1,000) AETRU Systems during the first twenty-four (24) months of this  Agreement and (ii) seven hundred and fifty (750) AETRU Systems per year thereafter for so long as this Agreement remains in effect (the  ""Minimum Order"").","Any such agreement









  reached between Zanotti and Aura regarding such worldwide sales and marketing shall prohibit competition among Zanotti and Aura with regard  to AETRU Systems and shall be memorized in a separate agreement between the Parties.","Pursuant to the terms and conditions set forth in this Agreement, Aura appoints Zanotti as its exclusive supplier of the Products  within the Territory and Field of Use and Zanotti hereby accepts such appointment.",,,,"Notwithstanding Section 7.1 above, this Agreement may be terminated upon the occurrence of any of the following events:<omitted>(d) By either party hereto upon sixty (60) days prior written notice to the other party hereto;",,"Notwithstanding Section 7.1 above, this Agreement may be terminated upon the occurrence of any of the following events:


  (a) At the election of either party, in writing, if: (i) all or substantially all of the assets of the non-terminating party are transferred, sold or  liquidated;<omitted>or (v) the ownership or  operations of the non-terminating party have materially changed;","Except as expressly provided for herein, neither party may assign or otherwise transfer any of its rights or obligations under this  Agreement without the other party's prior written approval and any such assignment or transfer shall be void.",,,"Within thirty (30) days from the Effective Date hereof, Zanotti shall deliver to Aura a minimum total of twelve (12)  Products to be delivered to Aura's facilities McDonough, Georgia, of such type as mutually agreed by the Parties (the ""Initial Order"").","Zanotti hereby agrees that Aura may, at any given time, store up to two (2) AuraGen systems in such Zanotti facilities as Aura  may designate from time to time.",,,"During the Term of this Agreement and subject to its provisions, Aura grants to Zanotti a limited, non-exclusive license to use Aura's  Trademarks to identify and promote the sale of the AETRU System within the Field of Use in the Territory and Zanotti grants to Aura a limited,  non-exclusive license to use Zanotti's Trademarks to identify and promote the Products used in conjunction with the AETRU System within the  Field of Use in the Territory.",,,,,,,"Upon termination of this Agreement for whatever reason whatsoever, the Parties shall have the  following rights and obligations:<omitted>(b) Aura shall have the right but not the obligation to purchase any or all Products then in Aura's possession at the invoiced price(s). In the  event that Aura does not elect to purchase said Products, Aura, at its cost, shall return all such non-purchased Products to Zanotti.","For a period of not less than two (2) years after the date of termination, each party shall maintain, and make available to the other party  upon its request, for inspection and copying all books and records that pertain to performance of and compliance with obligations,  warranties and representations under this Agreement.",,"NEITHER PARTY SHALL NOT BE LIABLE TO THE OTHER FOR ANY DAMAGES, LOSSES OR EXPENSES RESULTING FROM ANY  TERMINATION OR EXPIRATION OF THIS AGREEMENT ARISING FROM ANY CLAIMS ASSERTED WHICH ARE BASED UPON  LOSS OF GOODWILL, PROSPECTIVE PROFITS OR ANTICIPATED ORDERS, OR ON ACCOUNT OF ANY EXPENDITURES,  INVESTMENTS, LEASES OR COMMITMENTS MADE BY SUCH PARTY;",,"Additionally, Zanotti shall offer to end-users the option to purchase extended warranty coverage for an additional  twenty-four (24) months - making the total warranty period sixty (60) months.","Both Parties will each have and maintain in full force and effect during the Term of this Agreement (including any post-termination  period for which indemnification obligations continue), all product liability and other insurance reasonably necessary to cover









  such party's anticipated indemnification obligation and other risk of loss for which it may be liable under this Agreement.","Each party  each agrees that it will not knowingly do anything inconsistent with the other party's ownership of such party's intellectual property, including  without limitation, questioning the validity of that party's Trademarks or registering or attempting to register the other party's Trademarks in its  own name or that of any other firm, person or corporation.",
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply_Agreement,ODM SUPPLY AGREEMENT,"ORGANIC PREPARATIONS INC. (""the Manufacturer""); AGAPE ATP INTERNATIONAL HOLDING LIMITED (""the Customer"")",1/15/18,1/15/18,1/15/28,successive 10 years,6 months,England,,The Manufacturer grants exclusive rights to the Customer for the term of ten (10) years from the date of the signing of this agreement and for an indefinite period upon the customer fulfilling the minimum annual purchase requirement as listed in Schedule B. of this agreement.,"The Manufacturer agrees that the Customer has the right under this agreement to consider, source, promote, market and sell other product outside of the products listed in Schedule A of this agreement in line with the following assumptions: That they are non-competing products to the range of products or those products listed in schedule A of this agreement.","The Manufacturer hereby appoints the Customer to be the sole and exclusive agent for the promotion, sales, marketing, distribution and administration of the products listed in schedule A of this agreement based on minimum annual product purchase requirements as listed in Schedule B of this agreement.",,,,,The Manufacturer agrees to offer the Customer the first right of refusal to purchase the intellectual property for the products listed in Schedule A of this agreement based upon agreed terms.,Either parties voting stock is transferred to any third party to such extent as to result in a change in effective control of the company or its ownership or active management is changed in any other manner.,The Manufacturer may not transfer or assign any of its rights or obligations under this agreement without the prior written consent of the Customer.,,,"The Manufacturer hereby appoints the Customer to be the sole and exclusive agent for the promotion, sales, marketing, distribution and administration of the products listed in schedule A of this agreement based on minimum annual product purchase requirements as listed in Schedule B of this agreement.",,"The Manufacturer has appointed the Customer the copyright holder of both the English and the Chinese version of the book How to achieve Super Health beyond 2000 - Advanced Edition, authored by Frank D.P. Ellis and Dr. Michael Tait M.D.",,,,,,,The Manufacturer grants exclusive rights to the Customer for the term of ten (10) years from the date of the signing of this agreement and for an indefinite period upon the customer fulfilling the minimum annual purchase requirement as listed in Schedule B. of this agreement.,,,,,,,"The Customer shall inspect all Products promptly upon receipt thereof and may reject any defective Product, provided that the Customer shall within seven (7) days after receipt of such alleged defective Product, notify the Manufacturer of its rejection and either: (i) request to destroy in field for credit of the value of the defective product and the associated shipping costs (with approval), or (ii) request a Return Material Authorization (""RMA"") number and within seven (7) days of receipt of the RMA number from the Manufacturer return such rejected Product to the Manufacturer.","The Manufacturing Companies utilised by the Agent to manufacture the products listed in Schedule A of this agreement shall maintain throughout the term of this agreement product liability insurance issued by a reputable insurance company under standard terms and conditions in the industry to cover the liability of the Customer and to indemnity the Customer from any costs, expenses, loss or damages resulting from any act, neglect or default of the company.",,
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development_Agreement,"LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT","Xencor, Inc. (""Xencor""); Aimmune Therapeutics, Inc. (""Aimmune"")(""Party"" and collectively as the ""Parties"")",20/4/02,20/4/02,perpetual,Perpetual,,California,,,"Aimmune covenants that it will not research or develop (including Develop) the Antibody itself, including not developing any modification, variant, fragment, progeny or derivatives of such Antibody, in each case, in a way that would produce a molecule that is neither the Antibody nor a molecule that falls within the definition of a Product.","Subject to the terms and conditions of this Agreement, Xencor hereby grants to Aimmune during the Term an exclusive, worldwide, payment-bearing license under and with respect to Xencor Patents and Xencor's interest in Joint Collaboration Patents, and a non-exclusive, payment bearing license under and with respect to Xencor Know-How, in each case, with the right to sublicense solely in accordance with Section 2.3.2, solely to Develop, Manufacture and Commercialize the Product in and for the Licensed Field; provided that notwithstanding the foregoing, Xencor shall retain the right under and with respect to Xencor Patents and Xencor's interest in Joint Collaboration Patents to the extent necessary to perform its obligations under this Agreement.",,,,Aimmune may terminate this Agreement in its entirety at any time for its convenience upon sixty (60) days' prior written notice to Xencor.,"If, during the Term, Aimmune (i) intends to allow any Xencor Product Specific Patent, Aimmune Patent Covering an Antibody or Product or Joint<omitted>Collaboration Patent to expire or intends to otherwise abandon any such Xencor Product Specific Patent, Aimmune Patent Covering an Antibody or Product or Joint Collaboration Patent, or (ii) decides not to prepare or file patent applications Covering Aimmune Inventions or Joint Inventions, Aimmune shall notify Xencor of such intention or decision at least [***] ([***]) days (or as soon as possible if less than [***] ([***]) days) prior to any filing or payment due date, or any other date that requires action, in connection with such Xencor Product Specific Patent, Aimmune Patent Covering an Antibody or Product or Joint Collaboration Patent, and Xencor shall thereupon have the right, but not the obligation, to assume responsibility for the preparation, filing, prosecution or maintenance thereof [***], in the name of Xencor or Aimmune, as applicable.",,"Any assignment or transfer, or attempted assignment or transfer, by either Party in violation of the terms of this Section 15.6 shall be null and void and of no legal effect.","Within [***] ([***]) days after the Effective Date of this Agreement, Aimmune shall issue to Xencor shares of Aimmune Common Stock (the ""Shares"") in accordance with that certain Stock Issuance Agreement, dated the date hereof, by and among Xencor and Aimmune (the ""Stock Issuance Agreement""), and pay to Xencor by wire transfer of immediately available funds, into an account designated in writing by Xencor, an amount equal to five million Dollars ($5,000,000) (together with the issuance of the Shares, the ""Upfront Payment"").",,,"Xencor will allocate adequate appropriately qualified representatives to enable Aimmune to practice and understand the Xencor Know-How, Regulatory Materials, and Regulatory Data, including in connection with the transition of Manufacturing responsibility to Aimmune, Xencor's obligations under this Section 2.7 shall not exceed an aggregate of [***] ([***]) full- time equivalent hours unless the Parties otherwise agree in writing [***].","The Aimmune Know- How shall be transferred pursuant to the procedure to transfer Xencor Know-How, Regulatory Materials, and Regulatory Data in Section 2.7 applied mutatis mutandis.","All Joint Inventions shall be jointly owned by the Parties, and Patents Covering Joint Inventions shall be referred to as ""Joint Collaboration Patents"".","Aimmune hereby covenants and agrees that it shall not (and shall cause the other Aimmune Agreement Entities not to), either directly or indirectly,<omitted>Develop, Manufacture, or Commercialize the Product for use outside the Licensed Field.","Subject to the terms and conditions of this Agreement, Xencor hereby grants to Aimmune during the Term an exclusive, worldwide, payment-bearing license under and with respect to Xencor Patents and Xencor's interest in Joint Collaboration Patents, and a non-exclusive, payment bearing license under and with respect to Xencor Know-How, in each case, with the right to sublicense solely in accordance with Section 2.3.2, solely to Develop, Manufacture and Commercialize the Product in and for the Licensed Field; provided that notwithstanding the foregoing, Xencor shall retain the right under and with respect to Xencor Patents and Xencor's interest in Joint Collaboration Patents to the extent necessary to perform its obligations under this Agreement.","""Xencor Know-How"" means any and all Know-How, whether or not patented or patentable, (i) to the extent Controlled by Xencor or its Affiliates as of the Effective Date, or, if transferred to Aimmune thereafter during the Term of this Agreement, and that is necessary in connection with the Development, Manufacture, Commercialization or other use of the Antibody or Product or (ii) constituting a Xencor Invention. Notwithstanding the foregoing, in all cases, Xencor Know-How does not include (a) [***], (b) [***], (c) [***], (d) [***], (e) [***], or (f) [***].<omitted>Subject to the terms and conditions of this Agreement, Xencor hereby grants to Aimmune during the Term an exclusive, worldwide, payment-bearing license under and with respect to Xencor Patents and Xencor's interest in Joint Collaboration Patents, and a non-exclusive, payment bearing license under and with respect to Xencor Know-How, in each case, with the right to sublicense solely in accordance with Section 2.3.2, solely to Develop, Manufacture and Commercialize the Product in and for the Licensed Field; provided that notwithstanding the foregoing, Xencor shall retain the right under and with respect to Xencor Patents and Xencor's interest in Joint Collaboration Patents to the extent necessary to perform its obligations under this Agreement.","Aimmune shall [***] the right (but not the obligation) to sublicense the rights granted to it under Section 2.1 to its Affiliates or Third Parties (each, a ""Sublicensee""); provided, however, that Aimmune shall remain responsible for the performance by any of its direct and indirect Sublicensees and shall cause its direct and indirect Sublicensees to comply with the applicable provisions of this Agreement in connection with such performance.",,"Aimmune hereby grants to Xencor an exclusive license under and with respect to Aimmune Patents, and a non-exclusive license under and with respect to Aimmune Know-How, in each case, where such license is an irrevocable, perpetual, royalty-bearing license, with the right to sublicense, to Develop, Manufacture and Commercialize the Product(s), as the Product(s) exist as of the effective date of such termination, or optimized versions thereof that are Products.",,"Upon expiration of this Agreement with respect to a Product in a country, the licenses granted to Aimmune pursuant to this Agreement shall continue in full force and effect on a fully-paid basis.","An audit under this Section 8.4 shall not occur more than [***] in any Calendar Year, except in the case of any subsequent ""for cause"" audit.","NOTWITHSTANDING THE FOREGOING, NOTHING IN THIS SECTION 11.4 IS INTENDED TO OR SHALL LIMIT OR RESTRICT THE INDEMNIFICATION RIGHTS OR OBLIGATIONS OF ANY PARTY UNDER SECTION 11.1 or 11.2, OR DAMAGES AVAILABLE FOR A PARTY'S BREACH OF CONFIDENTIALITY OBLIGATIONS UNDER ARTICLE 12.","NEITHER PARTY SHALL BE LIABLE TO THE OTHER PARTY FOR ANY LOST PROFITS, OR ANY SPECIAL, CONSEQUENTIAL, INCIDENTAL, OR INDIRECT DAMAGES ARISING FROM OR RELATING TO ANY BREACH OF THIS AGREEMENT, REGARDLESS OF ANY NOTICE OF THE POSSIBILITY OF SUCH DAMAGES. NOTWITHSTANDING THE FOREGOING,",,,"Aimmune shall procure and maintain insurance, including clinical trials insurance and product liability insurance, adequate to cover its obligations hereunder and which is consistent with normal business practices of prudent companies similarly situated at all times during which the Product is being clinically tested in human subjects or commercially distributed or sold by Aimmune pursuant to this Agreement; provided, that any such clinical trials insurance coverage shall, prior to the First Commercial Sale of a Product, in no event be less than [***] Dollars ($[***]) per loss occurrence, and product liability insurance coverage shall, after such First Commercial Sale, in no event be less than [***] Dollars ($[***]) per loss occurrence.",,
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content_License_Agreement,JOINT CONTENT LICENSE AGREEMENT,"WPT Enterprises, Inc. (???WPT???); ZYNGA INC. (???Zynga US???); ZYNGA GAME IRELAND LIMITED (""Zynga Ireland"", and together with Zynga US and their respective Affiliates, ???Zynga???)",18/1/02,18/1/02,21/1/02,2 years,,California,,,WPT or its affiliates shall not authorize a Zynga Competitor to commercially exploit the Licensed Property in connection with social poker gaming via a license similar to the license granted herein for the Term.,,,,,,,,"Without the prior written consent of the other party, neither party shall assign or transfer any of its rights or obligations hereunder, in whole or in part, to any third party, and any purported assignment without such prior written consent shall be null and void and of no force and effect; except that notice, but no consent shall be required for such assignment or transfer in connection with an internal reorganization or sale of the transferring party, including by merger or other business combination, or a sale of substantially all of the assets of the transferring party.",The Royalties to be paid by Zynga to WPT is the percentage of Net Revenue as set forth in Section 5 of the Basic Provisions.,,"Zynga will pay WPT three million U.S. dollars ($3,000,000) per year according to the following schedule (which the parties may alter upon mutual agreement) (the ""Annual Minimum Guarantee""): a. Within thirty (30) days of executing this Agreement: $1.5M b. July 1, 2018: $1.5M c. January 1, 2019: $1.5M d. July 1, 2019: $1.5M e. January 1, 2020: $1.5M f. July 1, 2020: $1.5M",,,,"Notwithstanding the foregoing, for each end user that previously downloaded a Zynga game that includes WPT's Licensed Property, and stored such Zynga game within such end user's device, WPT grants a license and right to continue to use, activate, operate, perform, store, use and display that game on the end user's device in perpetuity at no additional charge; provided, however, that Zynga shall use best efforts to offer end users updates to its games which no longer include WPT's Licensed Property after the Term.","Subject to the terms and conditions of this Agreement, WPT grants to Zynga a non-exclusive, non-assignable, non-sublicensable, royalty-free, paid up, limited license in the Territory to use and display WPT's Licensed Property solely as necessary to perform Zynga's obligations under this Agreement and as specifically described on Exhibit A, for the Term.",,,,"Notwithstanding the foregoing, for each end user that previously downloaded a Zynga game that includes WPT's Licensed Property, and stored such Zynga game within such end user's device, WPT grants a license and right to continue to use, activate, operate, perform, store, use and display that game on the end user's device in perpetuity at no additional charge; provided, however, that Zynga shall use best efforts to offer end users updates to its games which no longer include WPT's Licensed Property after the Term.",,,"Zynga shall permit such records to be examined by authorized representatives of WPT, including such independent auditors as WPT may designate, during usual business hours, with advance notice, to verify to the extent necessary the Royalties paid hereunder, and WPT and its representatives shall use reasonable efforts to minimize disruptions to Zynga's business.","EXCEPT IN CASES OF GROSS NEGLIGENCE, WILLFUL MISCONDUCT OR FRAUD, INDEMNIFICATION CLAIMS UNDER SECTION 5 OR BREACHES OF SECTION 2 (TRADEMARKS), 8 (CONFIDENTIALITY), OR 9 (NO AGENCY RELATIONSHIP), IN NO EVENT SHALL EITHER PARTY OR ITS OFFICERS, DIRECTORS, OR EMPLOYEES BE LIABLE TO THE OTHER PARTY IN CONNECTION WITH THE SUBJECT MATTER HEREOF, FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL OR PUNITIVE DAMAGES OF ANY KIND, LOST PROFITS OR LOST REVENUE, WHETHER ARISING IN CONTRACT, TORT, NEGLIGENCE, STATUTE, OR OTHERWISE, EVEN IF ADVISED OF THE POSSIBILITY THEREOF.","EXCEPT IN CASES OF GROSS NEGLIGENCE, WILLFUL MISCONDUCT OR FRAUD, INDEMNIFICATION CLAIMS UNDER SECTION 5 OR BREACHES OF SECTION 2 (TRADEMARKS), 8 (CONFIDENTIALITY), OR 9 (NO AGENCY RELATIONSHIP), IN NO EVENT SHALL EITHER PARTY OR ITS OFFICERS, DIRECTORS, OR EMPLOYEES BE LIABLE TO THE OTHER PARTY IN CONNECTION WITH THE SUBJECT MATTER HEREOF, FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL OR PUNITIVE DAMAGES OF ANY KIND, LOST PROFITS OR LOST REVENUE, WHETHER ARISING IN CONTRACT, TORT, NEGLIGENCE, STATUTE, OR OTHERWISE, EVEN IF ADVISED OF THE POSSIBILITY THEREOF.",,,Each party agrees to carry liability insurance sufficient to cover the risks posed under this Agreement.,"Licensee will not, at any time during or after this Agreement, register, attempt to register, claim any interest in, contest the use of, or otherwise adversely affect the validity of any of Licensor's marks (including, without limitation, any act or assistance to any act, which may infringe or lead to the infringement of any such marks).",
